filename,actual,predicted
CMS02E09,Yes,yes
CMS02E16,Yes,yes
CMS04E18,Yes,yes
CMS08E19,Yes,yes
CMS09E05,Yes,yes
ERS04E19,Yes,yes
ERS05E07,Yes,yes
ERS06E18,Yes,yes
ERS06E22,Yes,yes
ERS07E21,Yes,yes
ERS08E11,Yes,yes
ERS09E18,Yes,yes
ERS12E11,Yes,yes
ES08E09,Yes,yes
GAS01E08,Yes,yes
GAS01E09,Yes,yes
GAS02E01,Yes,yes
GAS02E03,Yes,yes
GAS04E13,Yes,yes
GAS07E22,Yes,yes
GAS08E01,Yes,yes
GAS08E02,Yes,no
GAS08E03,Yes,no
GAS08E12,Yes,no
GAS08E15,Yes,yes
GAS15E19,Yes,yes
GAS16E17,Yes,no
GAS19E03,Yes,yes
GAS19E05.,Yes,yes
GAS19E08.,Yes,yes
GAS19E11,Yes,yes
HS01E05,Yes,no
HS01E12,Yes,yes
HS01E19,Yes,yes
HS03E12,Yes,yes
HS03E17,Yes,yes
HS04E01,Yes,yes
HS05E01,Yes,yes
NAS02E06,Yes,yes
NAS05E07,Yes,yes
PPS02E08,Yes,yes
PPS04E15,Yes,yes
PPS04E21,Yes,yes
TGDS04E06,Yes,yes
TGDS04E09,Yes,no
TGDS04E12,Yes,yes
TGDS06E15,Yes,yes
TRS05E23,Yes,yes
CMS05E11,No,no
CMS08E14,No,no
CMS08E16,No,no
ERS03E08,No,yes
ERS04E08,No,no
ERS05E06,No,no
ERS06E03,No,no
ERS07E04,No,no
ERS07E08,No,no
ERS07E22,No,no
ERS09E05,No,yes
ERS09E12,No,no
ERS11E12,No,no
ERS11E22,No,yes
ERS12E22,No,yes
ERS13E07,No,no
ERS13E09,No,no
ERS13E13,No,no
GAS02E04,No,yes
GAS02E09,No,no
GAS10E05,No,no
GAS11E13,No,no
GAS12E03,No,no
GAS13E06,No,yes
GAS13E18,No,no
GAS14E09,No,no
GAS15E22,No,no
HS01E17,No,no
HS01E21,No,no
HS02E12,No,no
HS03E19,No,no
HS04E15,No,no
HS05E04,No,no
HS05E20,No,no
HS06E11,No,no
HS08E08,No,no
HS08E14,No,no
NAS01E12,No,no
NAS05E09,No,yes
PPS01E05,No,yes
PPS02E10,No,no
PPS03E01,No,no
TGDS01E09,No,no
TGDS01E18,No,no
TGDS05E10,No,yes
TRS04E01,No,no
TRS06E01,No,yes
CMS03E07,No,yes
